Price,Close,High,Low,Open,Volume,returns,rv_21,ema12,ema26,ema_signal,volume_z,atr,atr_norm
2016-03-21,7704.25,7713.5498046875,7617.7001953125,7619.2001953125,196800.0,0.013137204502793765,0.054327737214966816,7506.873264055632,7432.356142744986,74.51712131064596,-0.6360005717310483,110.78937639508929,0.014380293525663015
2016-03-22,7714.89990234375,7728.2001953125,7643.7998046875,7695.5498046875,208900.0,0.001382341219943628,0.05428106647395409,7539.578745193705,7457.58158920845,81.99715598525472,-0.5228513826210625,99.071533203125,0.012841583747966392
2016-03-23,7716.5,7726.85009765625,7670.60009765625,7717.4501953125,199600.0,0.00020740355370829633,0.05418102278898111,7567.300441245576,7480.351536318276,86.94890492729974,-0.6640528773880388,91.80008370535714,0.011896596087002805
2016-03-28,7615.10009765625,7749.39990234375,7587.7001953125,7741.0,242400.0,-0.013140659929210097,0.05300682947622477,7574.768908497461,7492.0395740082295,82.7293344892314,-0.07050338221230694,95.12862723214286,0.012492104635817096
2016-03-29,7597.0,7652.89990234375,7582.25,7606.5498046875,216800.0,-0.0023768693023248355,0.05149837473008747,7578.234096836379,7501.029932735138,77.20416410124108,-0.40159956454976253,95.76077706473214,0.012605077934017658
2016-03-30,7735.2001953125,7741.9501953125,7643.4501953125,7651.10009765625,232600.0,0.01819141704784788,0.05418528212739779,7602.651153818647,7520.858103754698,81.79305006394861,-0.187656438342349,100.04293387276786,0.012933464079364548
2016-03-31,7738.39990234375,7777.60009765625,7702.0,7727.64990234375,380100.0,0.00041365536126503066,0.05351831526563447,7623.731669879732,7539.085066077197,84.64660380253554,2.7058029353176956,97.25006975446429,0.012567206526120459
2016-04-01,7713.0498046875,7740.14990234375,7666.10009765625,7718.0498046875,183900.0,-0.0032758836421172832,0.05327330874865556,7637.581937027164,7553.520681838401,84.06125518876252,-0.9926863282492069,95.41789899553571,0.012370968865979161
2016-04-04,7758.7998046875,7764.4501953125,7704.39990234375,7733.14990234375,155500.0,0.005931505845093277,0.04170848257652278,7656.355875833876,7570.404401848286,85.95147398558947,-1.441479451882106,93.75362723214286,0.012083521883822978
2016-04-05,7603.2001953125,7736.2998046875,7588.64990234375,7736.2998046875,203800.0,-0.02005459778469787,0.04159381057039031,7648.131732002664,7573.079909527462,75.05182247520133,-0.3995688654361649,100.65719168526786,0.013238792758255229
2016-04-06,7614.35009765625,7638.64990234375,7591.75,7636.0498046875,165600.0,0.0014664749128432408,0.03901707844693457,7642.909656199157,7576.421679447728,66.48797675142941,-1.0827950986380552,97.40715680803571,0.012792576590091163
2016-04-07,7546.4501953125,7630.75,7535.85009765625,7630.39990234375,234400.0,-0.00891736017820488,0.04000188336771597,7628.009619645494,7574.011427297138,53.9981923483565,0.3899040713512807,96.83928571428571,0.012832428917961682
2016-04-08,7555.2001953125,7569.35009765625,7526.7001953125,7542.35009765625,143400.0,0.0011594855559287076,0.040018683568750366,7616.769795770045,7572.5081989294,44.261596840644415,-1.377016888310077,92.32142857142857,0.012219587328567136
2016-04-11,7671.39990234375,7678.7998046875,7516.85009765625,7577.7998046875,179800.0,0.015380096361092388,0.04241993950566713,7625.198777708024,7580.364894291361,44.8338834166625,-0.5855641203644516,96.67138671875,0.012601531395751531
2016-04-12,7708.9501953125,7717.39990234375,7663.35009765625,7669.25,163400.0,0.004894842329530746,0.04226908526694988,7638.1151843194975,7590.52607077907,47.589113540427206,-0.8640014463431298,92.73210797991071,0.012029148668815806
2016-04-13,7850.4501953125,7864.7998046875,7772.2001953125,7777.14990234375,220400.0,0.018355287868643932,0.045970328650967326,7670.849815963321,7610.964867985947,59.884947977373486,0.21607056498005225,97.83562360491071,0.012462422048525103
2016-04-18,7914.7001953125,7920.60009765625,7842.75,7908.14990234375,184600.0,0.008184244011682829,0.046538175599823414,7708.431031610182,7634.740295236854,73.69073637332804,-0.4940597498784565,99.37848772321429,0.012556191045880858
